"","condition","director","matcher","dyad","trial_no","round_no","target","clue","guess","success","RT","symmetry","FAS_d","BAS_d","FAS_m","BAS_m","clue_rank","guess_rank","oc_c_ratio","clue_zipf","max_BAS","difficulty"
"1",0,2,1,"1",1,1,"environment","nature","tree",0,18.96612501,"1",0.0547945205479452,0.00671140939597315,0.0103092783505155,0.0469798657718121,72,5,17.7754385964912,4.65431661689563,0.119298245614035,"2"
"2",0,1,2,"1",2,1,"career","job","work",0,9.30253005,"0",0.229452054794521,0.0446735395189003,0.0588235294117647,0.209621993127148,5,1,2.614261650758,5.61537498824247,0.116788321167883,"2"
"3",0,2,1,"1",3,1,"payment","bill","note",0,14.03217506,"0",0.0563380281690141,0.0341296928327645,0.00342465753424658,0.0102389078498294,7,26,1.50513698630137,5.07301486308172,0.0513698630136986,"1"
"4",0,1,2,"1",4,1,"computer","laptop","computer",1,25.59847808,"1",0.0452961672473868,0.249146757679181,0.0452961672473868,0.249146757679181,3,1,1.04058853373922,3.54225414445335,0.259259259259259,"4"
"5",0,2,1,"1",5,1,"paper","sheet","paper",1,17.36842108,"0",0.00675675675675676,0.212328767123288,0.00675675675675676,0.212328767123288,5,1,1.4001743679163,4.06488883550872,0.297297297297297,"4"
"6",0,1,2,"1",6,1,"death","rip","tear",0,35.00497985,"0",NA,0.00709219858156028,0.127147766323024,0.265957446808511,440,1,40.4265734265734,4.30424951690689,0.286713286713287,"4"
"7",0,2,1,"1",7,1,"brand","logo","brand",1,18.41927886,"0",0.0205479452054795,0.131868131868132,0.0205479452054795,0.131868131868132,1,1,1,3.2603170906984,0.131868131868132,"2"
"8",0,1,2,"1",8,1,"director","tarantino","italy",0,40.0445559,"0",NA,NA,NA,NA,NA,NA,NA,NA,0.0620689655172414,"1"
"9",0,2,1,"1",9,1,"bank","money","coins",0,23.83892894,"1",0.228956228956229,0.0170068027210884,0.23728813559322,0.0408163265306122,66,2,15.0266666666667,5.80611619000484,0.255555555555556,"4"
"10",0,1,2,"1",10,1,"decision","choice ","option",0,22.66722202,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.0830449826989619,"1"
"11",0,2,1,"1",11,1,"chance","opportunity","chance",1,20.83376503,"1",0.0833333333333333,0.158450704225352,0.0833333333333333,0.158450704225352,1,1,1,4.6123958223397,0.158450704225352,"2"
"12",0,1,2,"1",12,1,"software","program","faculty",0,62.04756188,"1",0.0620689655172414,0.00701754385964912,NA,NA,36,NA,18.1810344827586,4.62929340343512,0.127586206896552,"2"
"13",0,2,1,"1",13,1,"help","aid","help",1,11.20921111,"1",0.125,0.256055363321799,0.125,0.256055363321799,3,1,1.20712530712531,4.14309249086353,0.309090909090909,"4"
"14",0,1,2,"1",14,1,"couple","pair","twins",0,12.58913016,"1",0.115646258503401,0.129692832764505,0.0278745644599303,0.0136518771331058,1,14,1,4.5708162590099,0.129692832764505,"2"
"15",0,2,1,"1",15,1,"link","connector","bridge",0,34.56416798,"1",NA,NA,NA,NA,NA,NA,NA,2.24607665158378,0.152777777777778,"2"
"16",0,1,2,"1",16,1,"table","desk","office",0,35.77572298,"1",0.0168918918918919,0.0684931506849315,0.0721649484536082,0.0308219178082192,9,9,2.54355400696864,4.64208216047862,0.174216027874564,"3"
"17",0,2,1,"1",17,1,"skin","exterior","outside",0,17.36739683,"0",NA,0.003690036900369,0.0034965034965035,0.265682656826568,391,1,63.6020408163265,3.37819397281921,0.23469387755102,"4"
